20
1	2	41		1	3	0		1	4	97		2	4	0		1	5	65
3	5	37		4	5	58		3	6	64		4	6	7		4	7	65
4	8	23		6	8	23		4	9	0		5	9	92		8	9	67
2	10	96		5	10	45		7	10	66		8	10	86		3	11	11
4	11	78		5	11	24		7	11	65		8	11	56		2	12	87
5	12	83		8	12	76		3	13	76		8	13	53		11	13	8
12	13	28		1	14	5		2	14	62		3	14	31		8	14	3
1	15	74		8	15	86		12	15	69		13	15	52		1	16	4
8	16	37		11	16	87		12	16	70		13	16	25		1	17	88
4	17	77		8	17	11		10	17	84		16	17	49		1	18	15
5	18	57		8	18	7		10	18	16		11	18	54		5	19	13
11	19	46		14	19	0		16	19	22		14	20	12		15	20	100
